Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Cables","To wire everything",1,4.72,"https://www.aliexpress.us/item/3256808757002563.html?spm=a2g0o.productlist.main.45.9e6acIHncIHnCc&algo_pvid=bba28f0e-40a9-4f98-ac68-5a267836b182&algo_exp_id=bba28f0e-40a9-4f98-ac68-5a267836b182-44&pdp_ext_f=%7B%22order%22%3A%222385%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.56%212.64%21%21%2137.64%2117.87%21%402101dedf17825059015134241ed9d4%2112000047303414363%21sea%21US%217582875214%21X%211%210%21n_tag%3A-29913%3Bd%3A1c34d3da%3Bm03_new_user%3A-29895%3BpisId%3A5000000209946324&curPageLogUid=mHfG7nizMJWs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008943317315%7C_p_origin_prod%3A","Ali Express"
"Rotary Encoder","To add features",1,1.86,"https://www.aliexpress.us/item/3256808854215994.html?spm=a2g0o.productlist.main.3.73892a1diYadJC&algo_pvid=6f5a5f48-9329-4754-a680-36f9e63d2199&algo_exp_id=6f5a5f48-9329-4754-a680-36f9e63d2199-2&pdp_ext_f=%7B%22order%22%3A%22905%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.88%211.86%21%21%2112.65%2112.52%21%402101ee6617804393982966971e38e9%2112000047680595869%21sea%21US%217599084987%21X%211%210%21n_tag%3A-29911%3Bd%3A1c34d3da%3Bm03_new_user%3A-29895%3BpisId%3A5000000208118449&curPageLogUid=YzHOAaoNabFW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009040530746%7C_p_origin_prod%3A","Aliexpress"
"M3 Screw","To screw the LCD",1,1.39,"https://www.aliexpress.us/item/3256806739148656.html?spm=a2g0o.cart.0.0.1dce38dahR7cgi&mp=1&pdp_npi=6%40dis%21USD%21USD+7.89%21USD+1.39%21%21USD+1.39%21%21%21%4021030a4b17772477948176802e7f19%2112000038743164598%21ct%21US%217582875214%21%211%210%21&gatewayAdapt=glo2usa","Ali Express"
"C3 Mini V2.1.0","Its the brains of this project",1,5.66,"https://www.aliexpress.us/item/3256804553736450.html?gatewayAdapt=glo2usa4itemAdapt","Ali Express"
"Case","3D Printed Case",1,1.50,"","N/A"
"MX Switches","Buttons",1,4.05,"https://www.aliexpress.us/item/3256810546698766.html?spm=a2g0o.productlist.0.0.5fd21f86WYlSwb&mp=1&pdp_npi=6%40dis%21USD%21USD+4.04%21USD+4.04%21%21USD+4.04%21%21%21%40210318a717813211782186973ee5f2%2112000053347971168%21ct%21US%217582875214%21%211%210%21&gatewayAdapt=glo2usa","Aliexpress"
"M3 Threaded Inserts","To put the screws in",1,3.19,"https://www.aliexpress.us/item/3256805885174058.html?spm=a2g0o.productlist.main.1.24c3f2f1m9j7Gj&algo_pvid=25981ecf-b31a-4153-aef7-72a213923b7b&algo_exp_id=25981ecf-b31a-4153-aef7-72a213923b7b-0&pdp_ext_f=%7B%22order%22%3A%2222636%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.60%210.99%21%21%2117.58%216.69%21%402101eecd17825035317284395e5074%2112000035595774900%21sea%21US%217599084987%21X%211%210%21n_tag%3A-29911%3Bd%3A1c34d3da%3Bm03_new_user%3A-29895%3BpisId%3A5000000207718384&curPageLogUid=6t5MpVs13FmP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006071488810%7C_p_origin_prod%3A","Ali Express"
"ST7735","1.8 Inch TFT LCD Screen",1,8.99,"https://www.amazon.com/DWEII-Display-Adapter-Inerface-Cmmpatible/dp/B0CTLPQBRW/ref=sr_1_2?crid=3LLC4N47DGFD9&dib=eyJ2IjoiMSJ9.buaxq2FqUuxXygEKoV49AiIJzJyhFPIdauxsZ0EviCFJHh6PiYM_3HbdBjEoK4DT1kv2CpNrqxqyAPEv1CWut0I6rT7YoV1pZ47Z7f3FHjcuh2CzY63DLbnipoN28EyuLuAQA1iG27Z29adaBJOrX5nz-FYZSs6FoMaO_QKGja1pr5G3xvDNIi__t5yO_5PW-HAbWwgimMrqGWNAXAeiStbC8BPQk2VOgGrJg7bJ0A1XMHZknfcgK4dLq6uoAdef.DAajESAYkiIATLognDnbQQUjEalEGeVeL5omLaJFFcA&dib_tag=se&keywords=1.8+Inch+TFT+LCD&qid=1781372553&s=electronics&sprefix=1.8+inch+tft+lcd%2Celectronics%2C119&sr=1-2","Amazon"
